,zipcode,Population,No_Married(%),Widowed(%),Divorced(%),Separated(%),Never_Married(%),No_Married,Widowed,Divorced,Separated,Never_Married,Number_Households,Precent_Distribution_Housesholds,Median_Income_Households
463,99003,3929,68.7,5.4,8.7,0.9,16.2,269922.3,21216.6,34182.3,3536.1,63649.8,1843,1843,70884
464,99004,17688,40.6,3.1,7.7,0.6,48.0,718132.8,54832.8,136197.6,10612.8,849024.0,7465,7465,45410
465,99005,7188,66.7,2.1,8.2,0.7,22.4,479439.6,15094.8,58941.6,5031.6,161011.2,2972,2972,92247
466,99006,10134,58.8,3.8,14.3,1.2,21.8,595879.2,38509.2,144916.2,12160.8,220921.2,4583,4583,60509
467,99008,846,56.4,3.0,3.2,3.1,34.4,47714.4,2538.0,2707.2,2622.6,29102.4,239,239,66831
468,99009,2996,57.6,8.7,9.9,0.2,23.5,172569.6,26065.2,29660.4,599.2,70406.0,1320,1320,60893
469,99011,2000,61.3,1.9,1.1,0.3,35.6,122600.0,3800.0,2200.0,600.0,71200.0,733,733,65220
470,99012,614,60.1,5.0,20.5,1.0,13.4,36901.4,3070.0,12587.0,614.0,8227.6,321,321,54028
471,99013,1252,42.1,9.9,14.5,3.2,30.3,52709.2,12394.8,18154.0,4006.4,37935.6,615,615,55038
472,99016,10389,59.8,5.3,13.8,0.9,20.1,621262.2,55061.7,143368.2,9350.1,208818.9,5247,5247,58454
473,99017,123,69.1,7.3,8.1,0.0,15.4,8499.3,897.9,996.3,0.0,1894.2,64,64,42308
474,99018,231,72.7,11.3,3.9,0.0,12.1,16793.7,2610.3,900.9,0.0,2795.1,117,117,55243
475,99019,8379,61.4,3.8,14.1,2.0,18.7,514470.6,31840.2,118143.9,16758.0,156687.3,4401,4401,75027
476,99020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
477,99021,7259,61.9,5.0,13.9,0.5,18.7,449332.1,36295.0,100900.1,3629.5,135743.3,3433,3433,63791
478,99022,7408,53.3,5.3,13.6,2.2,25.7,394846.4,39262.4,100748.8,16297.6,190385.6,3350,3350,57349
479,99023,520,54.2,6.5,11.9,0.0,27.3,28184.0,3380.0,6188.0,0.0,14196.0,209,209,83047
480,99025,4302,64.3,4.6,8.9,1.2,21.0,276618.6,19789.2,38287.8,5162.4,90342.0,1980,1980,68710
481,99026,7969,66.8,4.4,11.0,1.4,16.4,532329.2,35063.6,87659.0,11156.6,130691.6,3624,3624,69555
482,99027,4951,59.4,6.6,12.8,0.4,20.8,294089.4,32676.6,63372.8,1980.4,102980.8,2258,2258,63098
483,99029,890,59.6,8.4,9.6,0.0,22.5,53044.0,7476.0,8544.0,0.0,20025.0,459,459,62031
484,99030,828,67.8,1.0,11.1,2.3,17.9,56138.4,828.0,9190.8,1904.4,14821.2,428,428,63796
485,99031,997,63.0,1.8,11.3,5.7,18.2,62811.0,1794.6,11266.1,5682.9,18145.4,506,506,48500
486,99032,565,56.3,8.3,16.3,0.0,19.1,31809.5,4689.5,9209.5,0.0,10791.5,293,293,35924
